pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
35 <pt<40 	6<chiso range<13 	66.6028	11.9069	0.178775	6.95288e-310	6.95288e-310	inf
35 <pt<40 	7<chiso range<12 	66.6028	11.9069	0.178775	6.95288e-310	6.95288e-310	inf
35 <pt<40 	7<chiso range<13 	66.6028	11.9069	0.178775	6.95288e-310	6.95288e-310	inf
35 <pt<40 	8<chiso range<13 	66.6028	11.9069	0.178775	6.95288e-310	6.95288e-310	inf
#######################################################################################
40 <pt<50 	3<chiso range<8 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	3<chiso range<9 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	3<chiso range<10 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	3<chiso range<11 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	3<chiso range<12 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	3<chiso range<13 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	4<chiso range<9 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	4<chiso range<10 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	4<chiso range<11 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	4<chiso range<12 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	4<chiso range<13 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	5<chiso range<10 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	5<chiso range<11 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	5<chiso range<12 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	5<chiso range<13 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	6<chiso range<11 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	6<chiso range<12 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	6<chiso range<13 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	7<chiso range<12 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	7<chiso range<13 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
40 <pt<50 	8<chiso range<13 	70.0669	11.1589	0.159261	6.95288e-310	6.95288e-310	inf
#######################################################################################
50 <pt<65 	3<chiso range<8 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	3<chiso range<9 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	3<chiso range<10 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	3<chiso range<11 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	3<chiso range<12 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	3<chiso range<13 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	4<chiso range<9 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	4<chiso range<10 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	4<chiso range<11 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	4<chiso range<12 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
